"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT00787462","NA","TERMINATED","ENROLLMENT","0.67","DRUG","OTHER","False","OTHER",,"60","small-fiber neuropathy","Restrictive inclusion criteria/limited pool of suitable subjects with SFN.","Neuropathic pain score"
"NCT00456846","PHASE2","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"63.9","metastatic breast cancer",,"Percentage of Participants With Objective Confirmed Complete or Partial Overall Response According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.0 Based on Investigator and Independent Reviewers"
"NCT02930161","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","INDUSTRY",,"28.4","non-alcoholic fatty liver disease","Low recruitment","Proportion of responders to treatment"
"NCT04844970","PHASE2","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","OTHER",,"7.2","metastatic pancreatic cancer","The study closure was initiated by the financial sponsor and agreed upon by the site PI. The study is closing because of low enrollment and insufficient funds.","Percent Weight Change From Baseline to Week 25"
"NCT00839670","PHASE3","TERMINATED","EXTERNAL","0.67","OTHER","OTHER","False","OTHER",,"27.9","stroke","departure of the investigator coordinator into other country","Motor activity log scale"
"NCT01929941","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","SAFETY","False","INDUSTRY",,"11","solid tumor","Business decision.","Adverse events that are defined as dose limiting toxicities occurring in the first 21 days of treatment in Group 1 and the first 28 days of treatment in Group 2."
"NCT00003454","PHASE2","TERMINATED","ENROLLMENT","0.75","DRUG","OTHER","True","OTHER",,"81.3","stage iv breast cancer","slow accrual",
"NCT04106505","NA","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"15.6","migraine disorders","Recruitment terminated prematurely due to SARS-CoV-2 pandemic","Headache frequency"
"NCT05103722","NA","TERMINATED","BUSINESS","0.67","OTHER","OTHER","False","OTHER",,"25.4","renal cell carcinoma metastatic","Study terminated due to lack of funding","Number of participants who adhere to the exercise intervention"
"NCT01080222","PHASE2","TERMINATED","UNKNOWN","0","DRUG","SAFETY","False","INDUSTRY",,"39","chronic hepatitis c virus infection","Study discontinued","Safety and Tolerability"
"NCT03671551","NA","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","OTHER",,"12","eating disorders in children","Recruitment too low","Developmental Quotient"
"NCT02895529","PHASE4","TERMINATED","REGULATORY","0.67","DRUG","RESPONSE_RATE","False","INDUSTRY",,"17","hematologic neoplasms","Study is a commitment for license renew, we target on Apr19 submission, considering timeline, a cut off should be scheduled in Apr18.","Response Rate Measured by the Percentage of Participants That Achieve all of the Following 5 Composite Endpoints"
"NCT04188431","PHASE4","TERMINATED","BUSINESS","0.67","DRUG","OTHER","False","OTHER",,"39.9","pain, postoperative","Lack of finance","Reoperation for postoperative bleeding"
"NCT00307645","PHASE3","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"75","anca associated systemic vasculitis including wegener's",,"the disease-free period, defined as the time between the beginning"
"NCT03540095","NA","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","OTHER",,"9.5","rib fractures","Due to staffing issues, we are unable to enroll patients at the clinical site assigned. The study is terminated.","Total Opioid Consumption"
"NCT04427995","NA","TERMINATED","EXTERNAL","0.6","DEVICE","OTHER","False","OTHER",,"24.2","open angle glaucoma","product expired and could not be resupplied","Lower Intraocular Pressure and medication dependence"
"NCT04773275","NA","TERMINATED","ENROLLMENT","0.6","DEVICE","SAFETY","False","INDUSTRY",,"11.4","cancer of lung, kidney or liver","Lack of enrollment","Device and Procedure serious adverse event rate"
"NCT04271501","NA","TERMINATED","SAFETY","0.6","PROCEDURE","OTHER","False","INDUSTRY",,"10.9","vitiligo","Suspended and Terminated to focus on CTP009 (NCT04547998) Clinical Study to Investigate the Safety and Effectiveness of RECELL for Repigmentation of Stable Vitiligo Lesions","Repigmentation"
"NCT04915846","PHASE1","TERMINATED","SAFETY","0.6","DRUG","OTHER","False","OTHER",,"40.7","x linked myotubular myopathy","Study terminated due to safety concerns.","Motor Function Measure 32 (MFM32)"
"NCT01997203","PHASE3","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"12","chronic hepatitis c","complete patients samples required","composite measures of Vitamin D, IL-6, Visfatin and Hyaluronic acid in Hepatitis C Virus Patients under antiviral therapy"
"NCT00946361","NA","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"10","crohns disease","PI left institution","Height velocity"
