ID,SMILES,QED,LogP,SA_Score,SA_Grade,hERG,BBB,DILI,Bioavail,AMES,Tox_Status,SA_Status,Tox_Reasons,FINAL
gen8__ref_dimethoxybenzyl_F,COc1cc(COC23CC4CC(CC(O)(C4)C2)C3)cc(F)c1OC,0.895,3.443,4.58,🟡 보통,0.362,0.856,0.314,0.857,0.024,PASS,PASS,—,✅ PASS
gen8__ref_adamantyl_pip,OC12CC3CC(C1)CC(OCC1CCNCC1)(C3)C2,0.821,2.086,4.84,🟡 보통,0.196,0.792,0.022,0.738,0.025,PASS,PASS,—,✅ PASS
gen8__pip_N_fluorobenzyl,OC12CC3CC(C1)CC(OCC1CCN(Cc4ccc(F)cc4)CC1)(C3)C2,0.842,4.138,4.42,🟡 보통,0.857,0.955,0.045,0.643,0.035,FAIL,PASS,hERG=0.86≥0.4 (심장독성 — 낮을수록 안전),❌ FAIL
gen8__pip_N_cn_fluorobenzyl,N#Cc1ccc(CN2CCC(COC34CC5CC(CC(O)(C5)C3)C4)CC2)c(F)c1,0.814,4.01,4.66,🟡 보통,0.765,0.883,0.097,0.675,0.052,FAIL,PASS,hERG=0.77≥0.4 (심장독성 — 낮을수록 안전),❌ FAIL
gen8__Nmethyl_pip_dimethoxy,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1,0.861,2.429,4.72,🟡 보통,0.294,0.909,0.015,0.811,0.019,PASS,PASS,—,✅ PASS
gen8__pip_N_methoxybenzyl,COc1ccc(CN2CCC(COC34CC5CC(CC(O)(C5)C3)C4)CC2)cc1,0.803,4.008,4.39,🟡 보통,0.897,0.938,0.063,0.67,0.032,FAIL,PASS,hERG=0.90≥0.4 (심장독성 — 낮을수록 안전),❌ FAIL
gen8__direct_pip_dimethoxy,COc1ccc(CC2CCN(C34CC5CC(CC(O)(C5)C3)C4)CC2)cc1OC,0.831,4.042,4.48,🟡 보통,0.888,0.937,0.044,0.719,0.007,FAIL,PASS,hERG=0.89≥0.4 (심장독성 — 낮을수록 안전),❌ FAIL
