ID,SMILES,STATUS,REASONS,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
ether_direct__cyano_fluorophenyl_4cn2f,N#Cc1cc(F)cc(OC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__fluoronaphthalenyl,OC12CCC3(Oc4ccc5cc(F)ccc5c4)CC(CC(C1)C3)C2,FAIL,LogP=4.83>4.2,326.41,4.832,29.46,1,2,0.856,2,0
ether_direct__cyano_naphthalenyl,N#Cc1ccc2cc(OC34CCC5(O)CC(CC(C5)C3)C4)ccc2c1,FAIL,LogP=4.56>4.2,333.43,4.564,53.25,1,3,0.876,2,0
ether_direct__benzofuranyl,OC12CCC3(Oc4ccc5occc5c4)CC(CC(C1)C3)C2,FAIL,LogP=4.29>4.2,298.38,4.285,42.6,1,3,0.899,2,0
ether_direct__indanyl,OC12CCC3(OC4CCc5ccccc54)CC(CC(C1)C3)C2,PASS,—,298.43,4.164,29.46,1,2,0.888,2,0
ether_direct__cf_ortho,N#Cc1ccccc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,283.37,3.411,53.25,1,3,0.905,2,0
ether_direct__fcn_para,N#Cc1ccc(F)cc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__difluoro_cn,N#Cc1cc(F)c(OC23CCC4(O)CC(CC(C4)C2)C3)c(F)c1,PASS,—,319.35,3.689,53.25,1,3,0.904,2,0
ether_direct__sulfonyl_cn_phenyl,N#Cc1ccc(S(N)(=O)=O)c(OC23CCC4(O)CC(CC(C4)C2)C3)c1,FAIL,TPSA=113.41>95,362.45,2.058,113.41,2,5,0.854,3,0
ether_methyl__cyano_fluorophenyl_4cn2f,N#Cc1cc(F)cc(COC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,315.39,3.688,53.25,1,3,0.925,3,0
ether_methyl__fluoronaphthalenyl,OC12CCC3(OCc4ccc5cc(F)ccc5c4)CC(CC(C1)C3)C2,FAIL,LogP=4.97>4.2,340.44,4.969,29.46,1,2,0.855,3,0
ether_methyl__cyano_naphthalenyl,N#Cc1ccc2cc(COC34CCC5(O)CC(CC(C5)C3)C4)ccc2c1,FAIL,LogP=4.7>4.2,347.46,4.702,53.25,1,3,0.875,3,0
ether_methyl__benzofuranyl,OC12CCC3(OCc4ccc5occc5c4)CC(CC(C1)C3)C2,FAIL,LogP=4.42>4.2,312.41,4.423,42.6,1,3,0.912,3,0
ether_methyl__indanyl,OC12CCC3(OCC4CCc5ccccc54)CC(CC(C1)C3)C2,FAIL,LogP=4.21>4.2,312.45,4.207,29.46,1,2,0.906,3,0
ether_methyl__cf_ortho,N#Cc1ccccc1COC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,297.4,3.549,53.25,1,3,0.928,3,0
ether_methyl__fcn_para,N#Cc1ccc(F)cc1COC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,315.39,3.688,53.25,1,3,0.925,3,0
ether_methyl__difluoro_cn,N#Cc1cc(F)c(COC23CCC4(O)CC(CC(C4)C2)C3)c(F)c1,PASS,—,333.38,3.827,53.25,1,3,0.915,3,0
ether_methyl__sulfonyl_cn_phenyl,N#Cc1ccc(S(N)(=O)=O)c(COC23CCC4(O)CC(CC(C4)C2)C3)c1,FAIL,TPSA=113.41>95,376.48,2.196,113.41,2,5,0.836,4,0
