ID,SMILES,STATUS,REASONS,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
gen8__ref_dimethoxybenzyl_F,COc1cc(COC23CC4CC(CC(O)(C4)C2)C3)cc(F)c1OC,PASS,—,336.4,3.443,47.92,1,4,0.895,5,0
gen8__ref_adamantyl_pip,OC12CC3CC(C1)CC(OCC1CCNCC1)(C3)C2,PASS,—,265.4,2.086,41.49,2,3,0.821,3,0
gen8__pip_N_dimethoxybenzyl,COc1ccc(CN2CCC(COC34CC5CC(CC(O)(C5)C3)C4)CC2)cc1OC,FAIL,QED=0.73<0.78,415.57,4.016,51.16,1,5,0.729,7,0
gen8__pip_N_fluorobenzyl,OC12CC3CC(C1)CC(OCC1CCN(Cc4ccc(F)cc4)CC1)(C3)C2,PASS,—,373.51,4.138,32.7,1,3,0.842,5,0
gen8__pip_N_cn_fluorobenzyl,N#Cc1ccc(CN2CCC(COC34CC5CC(CC(O)(C5)C3)C4)CC2)c(F)c1,PASS,—,398.52,4.01,56.49,1,4,0.814,5,0
gen8__Nmethyl_pip_dimethoxy,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1,PASS,—,279.42,2.429,32.7,1,3,0.861,3,0
gen8__pip_N_methoxybenzyl,COc1ccc(CN2CCC(COC34CC5CC(CC(O)(C5)C3)C4)CC2)cc1,PASS,—,385.55,4.008,41.93,1,4,0.803,6,0
gen8__direct_pip_dimethoxy,COc1ccc(CC2CCN(C34CC5CC(CC(O)(C5)C3)C4)CC2)cc1OC,PASS,—,385.55,4.042,41.93,1,4,0.831,5,0
