Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -111.6683    -111.6683       0.0000     0.0
0.0400        -111.2597    -111.6408       0.3811   113.4
0.0800        -110.7621    -111.3659       0.6038   179.7
0.1200        -110.3192    -111.2202       0.9010   268.1
0.1600        -109.9025    -110.7161       0.8136   242.1
0.2000        -109.5425    -111.2572       1.7147   510.2
0.2400        -109.3164    -111.2304       1.9140   569.5
0.2800        -109.0939    -111.3093       2.2155   659.2
0.3200        -108.9436    -110.8678       1.9242   572.6
0.3600        -108.7277    -110.9044       2.1767   647.7
0.4000        -108.5960    -110.3761       1.7801   529.7
0.4400        -108.4423    -111.2124       2.7700   824.2
0.4800        -108.3930    -111.6591       3.2662   971.9
0.5200        -108.2799    -110.9667       2.6868   799.5
0.5600        -108.1601    -110.7508       2.5907   770.9
0.6000        -108.0256    -110.7637       2.7381   814.7
0.6400        -107.9395    -110.3610       2.4214   720.5
0.6800        -107.8867    -110.1583       2.2716   675.9
0.7200        -107.7717    -110.1759       2.4043   715.4
0.7600        -107.6340    -110.2437       2.6097   776.5
0.8000        -107.5637    -110.4865       2.9229   869.7
0.8400        -107.5624    -110.5704       3.0080   895.0
0.8800        -107.5260    -110.8629       3.3369   992.9
0.9200        -107.4877    -109.8170       2.3293   693.1
0.9600        -107.4529    -109.7789       2.3260   692.1
1.0000        -107.3958    -109.7477       2.3519   699.8
1.0400        -107.3911    -110.7081       3.3170   987.0
1.0800        -107.5260    -110.6071       3.0811   916.8
1.1200        -107.4642    -110.0526       2.5884   770.2
1.1600        -107.4023    -110.4597       3.0574   909.7
1.2000        -107.4198    -110.1999       2.7801   827.2
1.2400        -107.4596    -110.7547       3.2952   980.5
1.2800        -107.4504    -110.4267       2.9763   885.6
1.3200        -107.4068    -110.5939       3.1871   948.3
1.3600        -107.5020    -110.6488       3.1467   936.3
1.4000        -107.5045    -110.6953       3.1907   949.4
1.4400        -107.4712    -110.4953       3.0241   899.8
1.4800        -107.5187    -111.1350       3.6163  1076.0
1.5200        -107.5418    -110.3611       2.8193   838.9
1.5600        -107.4687    -110.7635       3.2948   980.4
1.6000        -107.5405    -110.6803       3.1398   934.3
1.6400        -107.4934    -110.6409       3.1475   936.5
1.6800        -107.5158    -110.6211       3.1053   924.0
1.7200        -107.5009    -110.4310       2.9301   871.9
1.7600        -107.5567    -110.6770       3.1203   928.4
1.8000        -107.5187    -110.6632       3.1445   935.7
1.8400        -107.5680    -110.8711       3.3031   982.8
1.8800        -107.6282    -110.9526       3.3245   989.2
1.9200        -107.6583    -110.7834       3.1250   929.9
1.9600        -107.6719    -110.6742       3.0023   893.3
2.0000        -107.6021    -110.3046       2.7025   804.1
