Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -107.8994    -107.8994       0.0000     0.0
0.0400        -107.4831    -108.3372       0.8541   254.1
0.0800        -107.0763    -107.9484       0.8721   259.5
0.1200        -106.6490    -107.4318       0.7828   232.9
0.1600        -106.2961    -107.9205       1.6244   483.3
0.2000        -106.0914    -108.1954       2.1040   626.1
0.2400        -105.8998    -107.9292       2.0294   603.9
0.2800        -105.6832    -108.4063       2.7231   810.3
0.3200        -105.5640    -108.0955       2.5315   753.3
0.3600        -105.4725    -107.8348       2.3623   702.9
0.4000        -105.3107    -107.7229       2.4122   717.7
0.4400        -105.1663    -107.6754       2.5092   746.6
0.4800        -105.0840    -107.8396       2.7556   819.9
0.5200        -105.0012    -106.9960       1.9948   593.6
0.5600        -104.9004    -107.7831       2.8827   857.8
0.6000        -104.8497    -107.4285       2.5788   767.3
0.6400        -104.7736    -107.9959       3.2223   958.8
0.6800        -104.8197    -108.1016       3.2819   976.5
0.7200        -104.8368    -107.9882       3.1513   937.7
0.7600        -104.7698    -107.9973       3.2275   960.4
0.8000        -104.8222    -107.9220       3.0998   922.4
0.8400        -104.8501    -108.1080       3.2579   969.4
0.8800        -104.9435    -108.6271       3.6837  1096.1
0.9200        -105.0170    -108.1630       3.1460   936.1
0.9600        -105.0661    -108.7706       3.7045  1102.3
1.0000        -105.1162    -107.6843       2.5680   764.1
1.0400        -105.1283    -108.1485       3.0201   898.6
1.0800        -105.1250    -108.2343       3.1093   925.2
1.1200        -105.2294    -109.1661       3.9366  1171.3
1.1600        -105.2358    -108.3352       3.0994   922.2
1.2000        -105.2263    -107.9448       2.7185   808.9
1.2400        -105.1967    -107.8921       2.6955   802.0
1.2800        -105.1551    -108.0678       2.9127   866.7
1.3200        -105.0694    -107.5679       2.4985   743.4
1.3600        -105.0470    -108.2291       3.1821   946.9
1.4000        -105.0538    -107.8018       2.7481   817.7
1.4400        -105.0535    -107.9279       2.8745   855.3
1.4800        -105.0587    -107.9545       2.8958   861.7
1.5200        -105.0170    -107.5147       2.4977   743.2
1.5600        -104.9936    -107.9828       2.9893   889.5
1.6000        -104.9525    -107.7162       2.7637   822.4
1.6400        -104.9290    -108.0999       3.1709   943.5
1.6800        -105.0049    -108.3455       3.3405   994.0
1.7200        -104.9998    -107.8828       2.8830   857.8
1.7600        -104.9420    -107.4531       2.5111   747.2
1.8000        -104.8559    -107.8423       2.9864   888.6
1.8400        -104.8443    -107.7226       2.8783   856.4
1.8800        -104.8578    -108.4355       3.5777  1064.6
1.9200        -104.9026    -107.2636       2.3610   702.5
1.9600        -104.7921    -107.2847       2.4926   741.7
2.0000        -104.8262    -108.0224       3.1962   951.0
