Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -105.7298    -105.7298       0.0000     0.0
0.0400        -105.3329    -106.5317       1.1988   356.7
0.0800        -104.9728    -105.7918       0.8190   243.7
0.1200        -104.5793    -106.0785       1.4991   446.1
0.1600        -104.3002    -106.4398       2.1397   636.7
0.2000        -104.1327    -106.7207       2.5880   770.1
0.2400        -103.9211    -106.1063       2.1852   650.2
0.2800        -103.7416    -106.6613       2.9197   868.8
0.3200        -103.5755    -105.5490       1.9735   587.2
0.3600        -103.4933    -105.8796       2.3863   710.1
0.4000        -103.3767    -105.2589       1.8822   560.0
0.4400        -103.2292    -105.9577       2.7285   811.9
0.4800        -103.1988    -105.6781       2.4793   737.7
0.5200        -102.9776    -105.2049       2.2273   662.7
0.5600        -102.9559    -104.8825       1.9266   573.3
0.6000        -102.7009    -105.3498       2.6489   788.2
0.6400        -102.7431    -105.5851       2.8420   845.6
0.6800        -102.5576    -104.7288       2.1711   646.0
0.7200        -102.5083    -105.0901       2.5818   768.2
0.7600        -102.4675    -105.7200       3.2525   967.8
0.8000        -102.4378    -105.2674       2.8296   841.9
0.8400        -102.3915    -105.1261       2.7346   813.7
0.8800        -102.4497    -105.8810       3.4312  1021.0
0.9200        -102.5035    -105.7740       3.2705   973.1
0.9600        -102.5966    -105.9996       3.4030  1012.6
1.0000        -102.7228    -106.3189       3.5962  1070.0
1.0400        -102.7496    -106.1845       3.4349  1022.1
1.0800        -102.8301    -106.5759       3.7458  1114.6
1.1200        -103.0194    -107.1631       4.1437  1233.0
1.1600        -103.1855    -106.6127       3.4271  1019.7
1.2000        -103.3167    -107.3516       4.0349  1200.6
1.2400        -103.4778    -107.5145       4.0368  1201.1
1.2800        -103.6371    -107.3901       3.7529  1116.7
1.3200        -103.7102    -107.1645       3.4543  1027.8
1.3600        -103.8442    -107.6570       3.8128  1134.5
1.4000        -104.0046    -108.0230       4.0184  1195.7
1.4400        -104.0877    -107.2543       3.1666   942.2
1.4800        -104.1438    -107.7198       3.5759  1064.0
1.5200        -104.1540    -107.0311       2.8771   856.1
1.5600        -104.1959    -107.2861       3.0901   919.5
1.6000        -104.2325    -107.3779       3.1454   935.9
1.6400        -104.2979    -107.9432       3.6453  1084.7
1.6800        -104.3649    -107.3011       2.9362   873.7
1.7200        -104.4221    -107.5163       3.0942   920.7
1.7600        -104.4752    -107.5447       3.0695   913.3
1.8000        -104.4634    -107.0157       2.5522   759.4
1.8400        -104.4669    -107.6278       3.1609   940.5
1.8800        -104.5449    -107.8025       3.2577   969.3
1.9200        -104.5963    -107.9663       3.3701  1002.8
1.9600        -104.5834    -107.3825       2.7991   832.9
2.0000        -104.5783    -107.5335       2.9552   879.3
