Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -97.4763     -97.4763       0.0000     0.0
0.0400         -97.3316    -100.9908       3.6592  1088.8
0.0800         -97.0643     -99.6064       2.5420   756.4
0.1200         -97.0098     -98.5345       1.5247   453.7
0.1600         -96.8138    -100.8666       4.0528  1205.9
0.2000         -96.7632     -98.7210       1.9578   582.5
0.2400         -96.8781    -100.4721       3.5940  1069.4
0.2800         -96.8167    -100.0309       3.2142   956.4
0.3200         -96.8061     -99.9669       3.1608   940.5
0.3600         -96.8787     -99.8087       2.9300   871.8
0.4000         -96.9139    -100.0358       3.1219   928.9
0.4400         -96.9833    -100.9875       4.0042  1191.4
0.4800         -97.0237     -99.9005       2.8768   856.0
0.5200         -97.0321    -100.1745       3.1423   935.0
0.5600         -97.1023    -100.3249       3.2226   958.9
0.6000         -97.1522    -100.8876       3.7353  1111.5
0.6400         -97.2824    -101.3869       4.1045  1221.3
0.6800         -97.4184    -100.7070       3.2887   978.6
0.7200         -97.5503    -101.2034       3.6531  1087.0
0.7600         -97.6730    -101.0647       3.3916  1009.2
0.8000         -97.7711    -102.0414       4.2702  1270.6
0.8400         -97.9805    -101.7898       3.8094  1133.5
0.8800         -98.0965    -101.5488       3.4522  1027.2
0.9200         -98.2889    -103.1818       4.8929  1455.9
0.9600         -98.6242    -102.7953       4.1711  1241.1
1.0000         -98.8317    -103.1351       4.3034  1280.5
1.0400         -99.0459    -103.0029       3.9570  1177.4
1.0800         -99.2305    -102.0253       2.7949   831.6
1.1200         -99.3608    -103.0379       3.6771  1094.1
1.1600         -99.4971    -102.8499       3.3528   997.6
1.2000         -99.5762    -102.9732       3.3970  1010.8
1.2400         -99.6545    -103.1822       3.5277  1049.7
1.2800         -99.6722    -102.7400       3.0678   912.8
1.3200         -99.6794    -102.7961       3.1167   927.4
1.3600         -99.6750    -102.5463       2.8713   854.4
1.4000         -99.6369    -102.6401       3.0032   893.6
1.4400         -99.6757    -103.0389       3.3632  1000.7
1.4800         -99.8142    -104.1657       4.3515  1294.8
1.5200         -99.9635    -103.0882       3.1246   929.7
1.5600        -100.0186    -103.3471       3.3285   990.4
1.6000        -100.1070    -103.9266       3.8196  1136.5
1.6400        -100.1952    -103.3547       3.1595   940.1
1.6800        -100.2481    -103.2992       3.0511   907.8
1.7200        -100.3051    -103.4138       3.1087   925.0
1.7600        -100.2996    -103.2970       2.9975   891.9
1.8000        -100.2957    -103.6471       3.3514   997.2
1.8400        -100.3569    -103.9134       3.5564  1058.2
1.8800        -100.4340    -103.3652       2.9313   872.2
1.9200        -100.4108    -103.5696       3.1588   939.9
1.9600        -100.4136    -103.5573       3.1436   935.4
2.0000        -100.4257    -103.6158       3.1901   949.2
