Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -50.2177     -50.2177       0.0000     0.0
0.0400         -50.0828     -51.6697       1.5869   944.4
0.0800         -49.9501     -50.3898       0.4397   261.7
0.1200         -49.8888     -51.4463       1.5575   926.9
0.1600         -49.7714     -50.7602       0.9888   588.5
0.2000         -49.7716     -51.5492       1.7776  1057.9
0.2400         -49.6774     -50.6205       0.9430   561.2
0.2800         -49.6900     -51.3128       1.6228   965.8
0.3200         -49.5806     -50.3029       0.7224   429.9
0.3600         -49.6064     -51.3962       1.7898  1065.1
0.4000         -49.5530     -51.0946       1.5416   917.4
0.4400         -49.5213     -50.1321       0.6108   363.5
0.4800         -49.4819     -50.5840       1.1021   655.9
0.5200         -49.4437     -51.3056       1.8619  1108.0
0.5600         -49.4973     -50.7541       1.2568   747.9
0.6000         -49.3589     -50.9390       1.5800   940.3
0.6400         -49.3886     -51.0974       1.7089  1016.9
0.6800         -49.4448     -50.9492       1.5044   895.3
0.7200         -49.3586     -51.0576       1.6989  1011.0
0.7600         -49.3594     -51.1718       1.8124  1078.6
0.8000         -49.4042     -51.2144       1.8102  1077.3
0.8400         -49.4201     -50.8848       1.4646   871.6
0.8800         -49.4151     -51.1360       1.7209  1024.1
0.9200         -49.4283     -51.0609       1.6326   971.5
0.9600         -49.4622     -51.2120       1.7498  1041.3
1.0000         -49.5002     -51.0016       1.5014   893.5
1.0400         -49.5511     -50.9858       1.4346   853.8
1.0800         -49.5970     -51.0494       1.4524   864.3
1.1200         -49.5954     -51.0396       1.4442   859.5
1.1600         -49.5998     -51.3354       1.7355  1032.8
1.2000         -49.7166     -51.8257       2.1092  1255.2
1.2400         -49.8760     -51.8025       1.9265  1146.5
1.2800         -50.0193     -52.2217       2.2025  1310.7
1.3200         -50.1656     -52.6618       2.4962  1485.5
1.3600         -50.3054     -52.0528       1.7474  1039.9
1.4000         -50.3439     -52.3835       2.0396  1213.8
1.4400         -50.4714     -52.8839       2.4125  1435.7
1.4800         -50.6234     -52.6554       2.0320  1209.3
1.5200         -50.7340     -52.7630       2.0290  1207.5
1.5600         -50.7992     -52.3591       1.5598   928.3
1.6000         -50.7887     -52.3156       1.5270   908.7
1.6400         -50.8493     -52.5277       1.6785   998.9
1.6800         -50.8349     -52.6526       1.8177  1081.7
1.7200         -50.9026     -52.7556       1.8530  1102.7
1.7600         -50.9617     -52.5404       1.5787   939.5
1.8000         -51.0005     -52.9058       1.9053  1133.8
1.8400         -51.0414     -52.7164       1.6750   996.8
1.8800         -51.0447     -52.4481       1.4033   835.1
1.9200         -51.0433     -52.8902       1.8468  1099.1
1.9600         -51.1003     -53.0013       1.9010  1131.3
2.0000         -51.1389     -52.6114       1.4725   876.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -50.2177     -50.2177       0.0000     0.0
0.0400         -50.0828     -51.6697       1.5869   944.4
0.0800         -49.9501     -50.3898       0.4397   261.7
0.1200         -49.8888     -51.4463       1.5575   926.9
0.1600         -49.7714     -50.7602       0.9888   588.5
0.2000         -49.7716     -51.5492       1.7776  1057.9
0.2400         -49.6774     -50.6205       0.9430   561.2
0.2800         -49.6900     -51.3128       1.6228   965.8
0.3200         -49.5806     -50.3029       0.7224   429.9
0.3600         -49.6064     -51.3962       1.7898  1065.1
0.4000         -49.5530     -51.0946       1.5416   917.4
0.4400         -49.5213     -50.1321       0.6108   363.5
0.4800         -49.4819     -50.5840       1.1021   655.9
0.5200         -49.4437     -51.3056       1.8619  1108.0
0.5600         -49.4973     -50.7541       1.2568   747.9
0.6000         -49.3589     -50.9390       1.5800   940.3
0.6400         -49.3886     -51.0974       1.7089  1016.9
0.6800         -49.4448     -50.9492       1.5044   895.3
0.7200         -49.3586     -51.0576       1.6989  1011.0
0.7600         -49.3594     -51.1718       1.8124  1078.6
0.8000         -49.4042     -51.2144       1.8102  1077.3
0.8400         -49.4201     -50.8848       1.4646   871.6
0.8800         -49.4151     -51.1360       1.7209  1024.1
0.9200         -49.4283     -51.0609       1.6326   971.5
0.9600         -49.4622     -51.2120       1.7498  1041.3
1.0000         -49.5002     -51.0016       1.5014   893.5
1.0400         -49.5511     -50.9858       1.4346   853.8
1.0800         -49.5970     -51.0494       1.4524   864.3
1.1200         -49.5954     -51.0396       1.4442   859.5
1.1600         -49.5998     -51.3354       1.7355  1032.8
1.2000         -49.7166     -51.8257       2.1092  1255.2
1.2400         -49.8760     -51.8025       1.9265  1146.5
1.2800         -50.0193     -52.2217       2.2025  1310.7
1.3200         -50.1656     -52.6618       2.4962  1485.5
1.3600         -50.3054     -52.0528       1.7474  1039.9
1.4000         -50.3439     -52.3835       2.0396  1213.8
1.4400         -50.4714     -52.8839       2.4125  1435.7
1.4800         -50.6234     -52.6554       2.0320  1209.3
1.5200         -50.7340     -52.7630       2.0290  1207.5
1.5600         -50.7992     -52.3591       1.5598   928.3
1.6000         -50.7887     -52.3156       1.5270   908.7
1.6400         -50.8493     -52.5277       1.6785   998.9
1.6800         -50.8349     -52.6526       1.8177  1081.7
1.7200         -50.9026     -52.7556       1.8530  1102.7
1.7600         -50.9617     -52.5404       1.5787   939.5
1.8000         -51.0005     -52.9058       1.9053  1133.8
1.8400         -51.0414     -52.7164       1.6750   996.8
1.8800         -51.0447     -52.4481       1.4033   835.1
1.9200         -51.0433     -52.8902       1.8468  1099.1
1.9600         -51.1003     -53.0013       1.9010  1131.3
2.0000         -51.1389     -52.6114       1.4725   876.3
