Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -103.1264    -103.1264       0.0000     0.0
0.0400        -102.7908    -104.9554       2.1646   644.1
0.0800        -102.4872    -103.2338       0.7467   222.2
0.1200        -102.1988    -104.7785       2.5797   767.6
0.1600        -102.0122    -103.9485       1.9363   576.2
0.2000        -101.9170    -105.0321       3.1151   926.9
0.2400        -101.8315    -104.1112       2.2797   678.3
0.2800        -101.6953    -104.1003       2.4050   715.6
0.3200        -101.6082    -104.6842       3.0760   915.3
0.3600        -101.6140    -104.6263       3.0124   896.3
0.4000        -101.6209    -104.5365       2.9156   867.5
0.4400        -101.6050    -104.7998       3.1948   950.6
0.4800        -101.7422    -105.4276       3.6854  1096.6
0.5200        -101.7480    -104.4358       2.6878   799.8
0.5600        -101.8022    -105.0901       3.2880   978.3
0.6000        -101.8261    -104.8920       3.0659   912.3
0.6400        -101.7955    -104.9785       3.1830   947.1
0.6800        -101.8090    -105.0049       3.1959   950.9
0.7200        -101.7802    -104.7387       2.9586   880.3
0.7600        -101.8327    -105.2647       3.4321  1021.2
0.8000        -101.8978    -105.4519       3.5541  1057.5
0.8400        -102.0510    -105.5495       3.4984  1041.0
0.8800        -102.1801    -105.4228       3.2426   964.9
0.9200        -102.1986    -105.7819       3.5832  1066.2
0.9600        -102.3074    -105.4297       3.1223   929.0
1.0000        -102.2807    -104.9559       2.6752   796.0
1.0400        -102.2882    -105.3138       3.0255   900.3
1.0800        -102.2878    -105.6033       3.3155   986.5
1.1200        -102.3021    -105.7527       3.4506  1026.7
1.1600        -102.3095    -105.7142       3.4047  1013.1
1.2000        -102.4114    -105.2696       2.8581   850.4
1.2400        -102.4292    -105.9950       3.5658  1061.0
1.2800        -102.5550    -106.0391       3.4841  1036.7
1.3200        -102.5765    -105.2485       2.6720   795.1
1.3600        -102.6104    -105.6983       3.0879   918.8
1.4000        -102.5926    -105.4205       2.8278   841.4
1.4400        -102.5828    -106.0529       3.4701  1032.5
1.4800        -102.6819    -106.4682       3.7863  1126.6
1.5200        -102.7387    -105.9245       3.1858   947.9
1.5600        -102.7584    -105.9939       3.2355   962.7
1.6000        -102.7701    -105.9014       3.1314   931.7
1.6400        -102.7561    -105.1813       2.4252   721.6
1.6800        -102.7447    -106.2735       3.5287  1050.0
1.7200        -102.7888    -106.4302       3.6414  1083.5
1.7600        -102.8066    -105.9111       3.1045   923.8
1.8000        -102.8293    -105.6868       2.8575   850.3
1.8400        -102.8441    -105.8597       3.0156   897.3
1.8800        -102.8784    -105.8802       3.0018   893.2
1.9200        -102.8508    -105.6557       2.8049   834.6
1.9600        -102.8567    -106.1668       3.3101   984.9
2.0000        -102.9061    -106.2609       3.3548   998.2
