Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -47.2377     -47.2377       0.0000     0.0
0.0400         -47.2306     -49.2542       2.0236  1204.2
0.0800         -47.1062     -49.2055       2.0993  1249.3
0.1200         -47.0769     -47.2281       0.1512    90.0
0.1600         -46.9954     -49.5733       2.5779  1534.1
0.2000         -46.9237     -48.7981       1.8744  1115.5
0.2400         -46.9432     -47.2669       0.3237   192.7
0.2800         -46.8382     -49.5884       2.7503  1636.7
0.3200         -46.7739     -48.2640       1.4901   886.8
0.3600         -46.8906     -47.5545       0.6638   395.1
0.4000         -46.8447     -49.4094       2.5647  1526.3
0.4400         -46.8335     -48.2454       1.4119   840.2
0.4800         -46.9373     -48.0705       1.1332   674.4
0.5200         -46.9507     -49.9848       3.0341  1805.6
0.5600         -46.9356     -48.5536       1.6181   962.9
0.6000         -47.0261     -48.3741       1.3479   802.2
0.6400         -47.0678     -48.2968       1.2290   731.4
0.6800         -47.0597     -48.8319       1.7722  1054.6
0.7200         -47.1541     -49.0586       1.9045  1133.4
0.7600         -47.2367     -48.9618       1.7250  1026.6
0.8000         -47.2463     -49.1610       1.9147  1139.4
0.8400         -47.2683     -48.8325       1.5642   930.9
0.8800         -47.3012     -49.3293       2.0281  1206.9
0.9200         -47.3731     -49.1974       1.8243  1085.6
0.9600         -47.4343     -48.8657       1.4314   851.8
1.0000         -47.4269     -48.5833       1.1564   688.2
1.0400         -47.3988     -48.9381       1.5393   916.0
1.0800         -47.3826     -49.0177       1.6351   973.1
1.1200         -47.4161     -49.4556       2.0395  1213.7
1.1600         -47.5752     -50.0751       2.4999  1487.7
1.2000         -47.7906     -50.2248       2.4343  1448.6
1.2400         -48.0145     -50.5581       2.5436  1513.7
1.2800         -48.2658     -51.4517       3.1859  1895.9
1.3200         -48.4571     -50.4086       1.9515  1161.4
1.3600         -48.6171     -51.2003       2.5832  1537.3
1.4000         -48.7370     -50.8107       2.0737  1234.1
1.4400         -48.7986     -50.3444       1.5458   919.9
1.4800         -48.8795     -51.1780       2.2985  1367.9
1.5200         -48.9761     -51.2674       2.2913  1363.6
1.5600         -49.0682     -51.1870       2.1188  1260.9
1.6000         -49.1420     -51.1641       2.0221  1203.4
1.6400         -49.1294     -50.4935       1.3641   811.8
1.6800         -49.1243     -50.6453       1.5209   905.1
1.7200         -49.1676     -50.6852       1.5175   903.1
1.7600         -49.2519     -51.1191       1.8672  1111.2
1.8000         -49.3116     -51.2825       1.9709  1172.9
1.8400         -49.3335     -50.7752       1.4417   858.0
1.8800         -49.3283     -51.1706       1.8423  1096.3
1.9200         -49.3657     -50.7727       1.4070   837.3
1.9600         -49.3531     -51.0883       1.7352  1032.7
2.0000         -49.3906     -51.1674       1.7768  1057.4
