Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -110.0084    -110.0084       0.0000     0.0
0.0400        -109.5877    -110.1432       0.5556   165.3
0.0800        -109.1114    -109.7601       0.6488   193.0
0.1200        -108.6734    -109.4223       0.7489   222.8
0.1600        -108.2814    -109.3143       1.0329   307.4
0.2000        -107.9897    -109.3747       1.3850   412.1
0.2400        -107.7212    -108.9007       1.1795   351.0
0.2800        -107.5734    -110.2833       2.7099   806.3
0.3200        -107.4441    -109.1956       1.7515   521.2
0.3600        -107.3281    -109.8252       2.4971   743.0
0.4000        -107.1561    -109.6467       2.4907   741.1
0.4400        -106.9317    -109.3565       2.4249   721.5
0.4800        -106.8851    -110.0022       3.1171   927.5
0.5200        -106.6820    -109.0947       2.4127   717.9
0.5600        -106.5469    -109.0989       2.5520   759.3
0.6000        -106.4156    -109.6388       3.2232   959.1
0.6400        -106.3962    -110.2364       3.8402  1142.7
0.6800        -106.2610    -108.9061       2.6451   787.1
0.7200        -106.2728    -109.5204       3.2477   966.4
0.7600        -106.1761    -108.3054       2.1293   633.6
0.8000        -106.1388    -108.0353       1.8966   564.3
0.8400        -105.9853    -108.2211       2.2358   665.3
0.8800        -106.0633    -108.7875       2.7242   810.6
0.9200        -106.1711    -108.6820       2.5109   747.1
0.9600        -106.3119    -110.3776       4.0657  1209.8
1.0000        -106.3908    -110.1498       3.7589  1118.5
1.0400        -106.3970    -109.5762       3.1791   946.0
1.0800        -106.4954    -109.9330       3.4377  1022.9
1.1200        -106.5700    -110.0032       3.4332  1021.5
1.1600        -106.5848    -109.5178       2.9330   872.7
1.2000        -106.5423    -109.7981       3.2558   968.8
1.2400        -106.5406    -110.1310       3.5904  1068.3
1.2800        -106.5794    -109.7165       3.1372   933.5
1.3200        -106.6355    -109.2640       2.6285   782.1
1.3600        -106.7147    -110.2045       3.4898  1038.4
1.4000        -106.7200    -109.5003       2.7803   827.3
1.4400        -106.7860    -110.0277       3.2418   964.6
1.4800        -106.8117    -109.9756       3.1639   941.4
1.5200        -106.8000    -110.5681       3.7681  1121.2
1.5600        -106.8114    -109.9333       3.1219   928.9
1.6000        -106.7429    -110.0009       3.2580   969.4
1.6400        -106.8080    -109.9231       3.1151   926.9
1.6800        -106.8306    -109.8104       2.9798   886.7
1.7200        -106.8445    -110.3113       3.4668  1031.5
1.7600        -106.8656    -109.7355       2.8699   853.9
1.8000        -106.9538    -110.6187       3.6649  1090.5
1.8400        -106.9456    -109.5490       2.6034   774.6
1.8800        -106.8633    -110.0370       3.1736   944.3
1.9200        -106.9129    -109.9415       3.0286   901.2
1.9600        -106.9109    -110.0636       3.1527   938.1
2.0000        -106.9776    -110.1223       3.1447   935.7
