ID,SMILES,Docking_dG,RMSD_mean,Grade
ether_direct__cyano_fluorophenyl_4cn2f,N#Cc1cc(F)cc(OC23CCC4(O)CC(CC(C4)C2)C3)c1,-3.757,2.953,⭐ 보통
ether_direct__difluoro_cn,N#Cc1cc(F)c(OC23CCC4(O)CC(CC(C4)C2)C3)c(F)c1,-3.998,3.356,⭐ 보통
