"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT03551717","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"13.2","high cardiovascular risk patients","Lack of inclusion","Surface of the avascular zone in the central retina"
"NCT04417517","PHASE1","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"56.2","higher risk myelodysplastic syndromes","While intended to be a Phase 1/2 clinical study, the study did not proceed to Phase 2.","Phase 1: Dose Limiting Toxicities (DLT)"
"NCT00550017","PHASE1","TERMINATED","UNKNOWN","0","DRUG","SAFETY","False","INDUSTRY",,"27","advanced solid tumors",,"To determine the Maximum Tolerated Dose, the Dose Limiting Toxicity and the recommended dose of Epofolate (BMS-753493)"
"NCT03169868","NA","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","INDUSTRY",,"10.8","mental disorders","Enrollment rate insufficient to fully enroll study within the planned timeline.","Medical record accuracy"
"NCT04049097","PHASE3","TERMINATED","EFFICACY","0.8","DRUG","OTHER","False","INDUSTRY",,"29.9","inclusion body myositis","As a consequence of the results of IBM4809 which did not meet any of its efficacy endpoints. The planned duration of open-label treatment was 40 months. After termination, the actual mean duration of treatment was approx. 28 weeks.","Change in Inclusion Body Myositis Functional Rating Scale (IBMFRS) Total Score"
"NCT05250310","NA","TERMINATED","UNKNOWN","0","OTHER","BIOMARKER","False","OTHER",,"45","coronary artery disease","We have closed the study as subjects were not interested in participating.","micro RNA expression"
"NCT02107560","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"23","cholangitis","Because of small number of enrolled patients, we terminated this study.","Postive culture rates of blood and bile juice"
"NCT00469820","PHASE1","TERMINATED","ENROLLMENT","0.8","BIOLOGICAL","OTHER","False","OTHER",,"35","leukemia","low accrual","Time to relapse"
"NCT04054180","NA","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","OTHER",,"32.7","obstructive sleep apnea syndrome","insufficient recruitment","Comparison of mean value of 18 self measures blood pressure"
"NCT03065959","PHASE1","TERMINATED","EFFICACY","0.8","DRUG","OTHER","False","INDUSTRY",,"15.4","mobility limitation","Lack of efficacy determined at interim analysis","Change from period baseline in sum of the peak torque of 120 contractions"
"NCT04579679","PHASE2","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","INDUSTRY",,"38.1","neuroendocrine tumours","Sponsor decision","Disease Control Rate (DCR)"
"NCT00618696","PHASE1","TERMINATED","UNKNOWN","0","BIOLOGICAL","BIOMARKER","False","OTHER",,"29","leukemia","Replaced with another study","Biodistribution of nonradiolabeled anti-CD45 monoclonal antibody AHN-12"
"NCT00311246","PHASE2","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"29","sarcoidosis","Difficulty in recruiting subjects","Change in FVC From Screening to Week 24"
"NCT06782503","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"1.1","healthy","Lack of interest by parole division in continuing training.","Change from Baseline on Resilience assessed using the Connor-Davidson Resilience Scale (CD-RISC) after the 4-day training and 3 months after the last group consultation session"
"NCT04315961","PHASE1","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"28.5","healthy","Unable to recruit participants.","Peak Participant Subjective Ratings of Drug Liking"
"NCT01230918","PHASE2","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"71.6","hypertrophic cardiomyopathy","Costs of study procedures has changed and escalated and became prohibitive.","TcNC100692 uptake"
"NCT00877513","NA","TERMINATED","BUSINESS","0.6","OTHER","OTHER","False","OTHER",,"58","cardiovascular disease","Funding expired","Insulin sensitivity by euglycemic hyperinsulinemic clamp"
"NCT00547482","NA","TERMINATED","UNKNOWN","0","DEVICE","OTHER","False","INDUSTRY",,"26","type 2 diabetes mellitus","Protocol design under review.","Glycemic control as measured by HbA1c: Difference in mean reduction between Control and Treatment Groups will be evaluated."
"NCT03059082","NA","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"21","alcohol use disorder (aud)","Principal Investigator surrendered funding and left institution.","Client Satisfaction and Acceptability of study"
"NCT01127724","NA","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"28","recurrent aphthous stomatitis","difficulties in recruiting participants","frequency of recurrent aphthous stomatitis (RAS)"
"NCT03285880","NA","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"57.9","sleep","The pandemic halted the study protocol temporarily. We continued to collect what we could but the study ran out of time/funds.","Change in memory accuracy"
"NCT01025180","PHASE4","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","INDUSTRY",,"27","severe sepsis","65 patients were included after 2 years instead of 140","rate of patients undergoing antibiotic treatment at D5."
"NCT05884580","NA","TERMINATED","UNKNOWN","0","DEVICE","QOL","False","INDUSTRY",,"26","benign prostatic hyperplasia","A design change was required following the first treatment. The design concept was not feasible.","Effectiveness: Relief of BPH symptoms as measured by International Prostate Symptom Score (IPSS)"
"NCT04349280","PHASE1","TERMINATED","EXTERNAL","0.6","DRUG","RESPONSE_RATE","False","INDUSTRY",,"22","neoplasms","Primary investigator withdrew the participant due to an SAE","Confirmed Overall Response Rate (ORR) Assessed by Investigator Per Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1"
"NCT00469846","PHASE2","TERMINATED","ENROLLMENT","0.6","PROCEDURE","OTHER","False","OTHER_GOV",,"70","pre-eclampsia","Recruitment and follow-up has been completed.","Development of preeclampsia"
"NCT06619262","NA","TERMINATED","UNKNOWN","0","DEVICE","OTHER","False","OTHER_GOV",,"15","stroke","After the G power analysis, it was determined that a total of 60 patients needed initial, 1st month and 4th month follow-ups. The study was terminated when the follow-ups of 60 patients were completed prospectively.","National Institutes of Health Stroke Scale"
"NCT04583488","PHASE1","TERMINATED","EXTERNAL","0.6","DRUG","SAFETY","False","OTHER",,"45.1","peritoneal carcinomatosis","PI left institution","Maximum Tolerated Dose (MTD)"
