"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT00787462","NA","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","OTHER",,"60","small-fiber neuropathy","Restrictive inclusion criteria/limited pool of suitable subjects with SFN.","Neuropathic pain score"
"NCT00456846","PHASE2","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"63.9","metastatic breast cancer",,"Percentage of Participants With Objective Confirmed Complete or Partial Overall Response According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.0 Based on Investigator and Independent Reviewers"
"NCT02930161","PHASE2","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","INDUSTRY",,"28.4","non-alcoholic fatty liver disease","Low recruitment","Proportion of responders to treatment"
"NCT04844970","PHASE2","TERMINATED","BUSINESS","0.8","DRUG","OTHER","False","OTHER",,"7.2","metastatic pancreatic cancer","The study closure was initiated by the financial sponsor and agreed upon by the site PI. The study is closing because of low enrollment and insufficient funds.","Percent Weight Change From Baseline to Week 25"
"NCT00839670","PHASE3","TERMINATED","EXTERNAL","0.8","OTHER","OTHER","False","OTHER",,"27.9","stroke","departure of the investigator coordinator into other country","Motor activity log scale"
"NCT01929941","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","SAFETY","False","INDUSTRY",,"11","solid tumor","Business decision.","Adverse events that are defined as dose limiting toxicities occurring in the first 21 days of treatment in Group 1 and the first 28 days of treatment in Group 2."
"NCT00003454","PHASE2","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","True","OTHER",,"81.3","stage iv breast cancer","slow accrual",
"NCT04106505","NA","TERMINATED","EXTERNAL","0.8","OTHER","OTHER","False","OTHER",,"15.6","migraine disorders","Recruitment terminated prematurely due to SARS-CoV-2 pandemic","Headache frequency"
"NCT05103722","NA","TERMINATED","BUSINESS","0.8","OTHER","OTHER","False","OTHER",,"25.4","renal cell carcinoma metastatic","Study terminated due to lack of funding","Number of participants who adhere to the exercise intervention"
"NCT01080222","PHASE2","TERMINATED","UNKNOWN","0","DRUG","SAFETY","False","INDUSTRY",,"39","chronic hepatitis c virus infection","Study discontinued","Safety and Tolerability"
"NCT03671551","NA","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","OTHER",,"12","eating disorders in children","Recruitment too low","Developmental Quotient"
"NCT02895529","PHASE4","TERMINATED","REGULATORY","0.6","DRUG","RESPONSE_RATE","False","INDUSTRY",,"17","hematologic neoplasms","Study is a commitment for license renew, we target on Apr19 submission, considering timeline, a cut off should be scheduled in Apr18.","Response Rate Measured by the Percentage of Participants That Achieve all of the Following 5 Composite Endpoints"
"NCT04188431","PHASE4","TERMINATED","BUSINESS","0.8","DRUG","OTHER","False","OTHER",,"39.9","pain, postoperative","Lack of finance","Reoperation for postoperative bleeding"
"NCT00307645","PHASE3","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"75","anca associated systemic vasculitis including wegener's",,"the disease-free period, defined as the time between the beginning"
"NCT03540095","NA","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","OTHER",,"9.5","rib fractures","Due to staffing issues, we are unable to enroll patients at the clinical site assigned. The study is terminated.","Total Opioid Consumption"
"NCT04427995","NA","TERMINATED","EXTERNAL","0.6","DEVICE","OTHER","False","OTHER",,"24.2","open angle glaucoma","product expired and could not be resupplied","Lower Intraocular Pressure and medication dependence"
"NCT04773275","NA","TERMINATED","ENROLLMENT","0.6","DEVICE","SAFETY","False","INDUSTRY",,"11.4","cancer of lung, kidney or liver","Lack of enrollment","Device and Procedure serious adverse event rate"
"NCT04271501","NA","TERMINATED","SAFETY","0.6","PROCEDURE","OTHER","False","INDUSTRY",,"10.9","vitiligo","Suspended and Terminated to focus on CTP009 (NCT04547998) Clinical Study to Investigate the Safety and Effectiveness of RECELL for Repigmentation of Stable Vitiligo Lesions","Repigmentation"
"NCT04915846","PHASE1","TERMINATED","SAFETY","0.6","DRUG","OTHER","False","OTHER",,"40.7","x linked myotubular myopathy","Study terminated due to safety concerns.","Motor Function Measure 32 (MFM32)"
"NCT01997203","PHASE3","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"12","chronic hepatitis c","complete patients samples required","composite measures of Vitamin D, IL-6, Visfatin and Hyaluronic acid in Hepatitis C Virus Patients under antiviral therapy"
"NCT00946361","NA","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"10","crohns disease","PI left institution","Height velocity"
"NCT02378870","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","INDUSTRY",,"8","prostate cancer metastatic","Poor patient recruitment","Relative change in response markers related to bone metabolism (B-ALP and S-P1NP)"
"NCT02516670","PHASE2","TERMINATED","EFFICACY","0.6","OTHER","OTHER","False","OTHER",,"63.8","hormone-resistant prostate cancer","insufficient clinical response per DSMB","Number of Participates With a Decline in Prostate-specific Antigen From Their Baseline Measurement"
"NCT00439569","PHASE1","TERMINATED","REGULATORY","0.6","DRUG","OTHER","False","OTHER",,"7","spinal muscular atrophy type ii","Due to poor compliance with study drug administration.","Dose Limiting Toxicities (DLT)"
"NCT02498483","PHASE4","TERMINATED","EXTERNAL","0.6","DRUG","OTHER","False","OTHER",,"33","pain","Understaffing","Neonatal Infant Pain Scale (NIPS)"
"NCT00184054","PHASE2","TERMINATED","EXTERNAL","0.6","DRUG","RESPONSE_RATE","False","OTHER",,"112","acute myelogenous leukemia","Competing studies","Number of Participants With a Response (Complete Remissions (CR) and Complete Remission With Incomplete Blood Count Recovery (CRi)"
"NCT02276456","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"72","myocardial infarction",,"hospital readmission"
"NCT00842829","PHASE4","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","INDUSTRY",,"27.9","cancer pain","Recruitment stopped at the end of the recruitment timeframe","Percentage of Participants Reaching an Effective Fentanyl Buccal Tablet (FBT) Dose As Assessed by the Participant During the Titration Period"
"NCT03946631","NA","TERMINATED","EXTERNAL","0.8","OTHER","OTHER","False","OTHER",,"38","diabetes","PI and Practice closed","Sensitivity of early postpartum overt diabetes screening by 2-hour glucose tolerance testing in postpartum women."
"NCT03193931","PHASE2","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","OTHER",,"49.6","cancer of head and neck","A very low recruitment rate made it impossible to reach the recruitment goal wthin an acceptable timeframe.","Antitumor activity of pembrolizumab in SCCHN"
"NCT01288053","PHASE1","TERMINATED","ENROLLMENT","0.6","BIOLOGICAL","SURVIVAL","False","OTHER",,"77","crohn's disease","No participant enrolled more than two years. No plan to continue study.","Survival"
"NCT03799445","PHASE2","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"80.7","clinical stage i hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8","\<75% participation","Radiographic (RECIST) Response"
"NCT03712345","PHASE2","TERMINATED","EXTERNAL","0.8","DRUG","OTHER","False","INDUSTRY",,"30.6","granulomatosis with polyangiitis (gpa)","Due to COVID-19 pandemic outbreak and its impact on overall study activities. All efforts were made to ensure that participants that were enrolled and/or were still in the study will continue to receive treatment and follow-up until study completion.","Number and Percentage of Participants With at Least One TEAE Per Treatment Group."
"NCT03970837","PHASE3","TERMINATED","REGULATORY","0.6","BIOLOGICAL","OTHER","False","INDUSTRY",,"43.5","arthritis, rheumatoid","Only Asia cohort is early terminated.Limited efficacy demonstrated in the contRAst program does not support a suitable benefit/risk profile for otilimab as a potential treatment for RA. GSK has decided not to progress with regulatory submissions.","Percentage (%) of Participants With 20% Improvement in American College of Rheumatology Criteria (ACR20) at Week 12 Superiority Comparison With Placebo (Global Cohort)"
"NCT03289039","PHASE2","TERMINATED","ENROLLMENT","0.8","DRUG","SURVIVAL","False","OTHER",,"44.8","breast cancer","Slow accrual","Progression Free Survival"
"NCT00302939","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","True","NIH",,"59","anemia",,
"NCT02392039","NA","TERMINATED","ENROLLMENT","0.8","DRUG","QOL","False","OTHER",,"27.7","lymphoma","Slow Accrual","Bone Pain Related Quality of Life (QOL) Measured by FACT-Bone Pain (FACT-BP) Questionnaire"
"NCT03421496","PHASE3","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","INDUSTRY",,"8.7","infantile spasm","The study was terminated due to slow enrollment and failure to identify adequate patients that met entry criteria.","Percentage of Participants Considered Complete Responders"
"NCT01153646","NA","TERMINATED","UNKNOWN","0","OTHER","SAFETY","False","OTHER",,"9","hiv-1 infection",,"Patient Safety"
"NCT02863146","NA","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","OTHER",,"28.1","breast cancer","Lack of enrollment","Alopecia grade after 3 cycles of eribulin according to NCI-CTCAE v4.0"
"NCT02425683","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","INDUSTRY",,"29.9","colorectal neoplasms","insufficient accrual","Starting Dose of Regorafenib"
"NCT04264754","NA","TERMINATED","BUSINESS","0.6","PROCEDURE","OTHER","False","INDUSTRY",,"35.6","hepatocellular carcinoma","Sponsor prioritize other clinical projects over this study","To collect blood samples and clinical data in order to characterize methylation patterns that will discriminate between HCC and normal hepatic tissue"
"NCT01734694","PHASE4","TERMINATED","REGULATORY","0.6","DRUG","SAFETY","False","OTHER",,"11","health care associated pneumonia","Independent biostatistician recommended early termination of the trial due to low probability of success.","Proportion of Individuals With Nephrotoxicity"
"NCT00688766","PHASE3","TERMINATED","REGULATORY","0.6","DRUG","SURVIVAL","False","INDUSTRY",,"9","gastrointestinal stromal tumors","Based on Independent Data Monitoring Committee (IDMC) recommendation.","Compare the progression free survival (PFS) in both study arms"
"NCT01085331","PHASE1","TERMINATED","EFFICACY","0.6","DRUG","SAFETY","False","INDUSTRY",,"25","metastatic colorectal cancer","Conduct the randomized Phase 2 part not recommended due to the achieved MTD for pimasertib (45mg/day) in combination with FOLFIRI","Part 1 or Safety Run-in Part: Maximum Tolerated Dose (MTD)"
"NCT02652702","PHASE2","TERMINATED","ENROLLMENT","0.6","PROCEDURE","OTHER","False","OTHER",,"37","colorectal carcinoma","Not enough patients recruited","colostomy associated complications"
"NCT01083472","PHASE4","TERMINATED","ENROLLMENT","0.6","DEVICE","OTHER","False","INDUSTRY",,"27","hernia","Surgical practice evolution changed acceptable standard of care and lead to potential enrollment bias.","Hernia Occurrence"
"NCT04713995","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","INDUSTRY",,"23.8","axial spondyloarthritis","Sufficient samples and data have been collected for data analyses.","AxSpA (Axial Spondyloarthritis) disease activity"
"NCT02120339","PHASE1","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","OTHER",,"25","pulmonary hypertension","Low enrollment","Mean change in RVEF"
"NCT05576077","PHASE1","TERMINATED","BUSINESS","0.6","BIOLOGICAL","SAFETY","False","INDUSTRY",,"25.3","breast cancer","Sponsor decision","Safety and tolerability"
"NCT00003777","PHASE2","TERMINATED","EXTERNAL","0.6","DRUG","OTHER","True","OTHER",,"28.6","head and neck cancer","PI left institution",
"NCT01822275","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","OTHER",,"76","histologically proven diagnosis of glioblastoma or gliosarcoma (who grade iv)","Poor accrual","Ability to Calculate the Efficacy of Low-dose Whole Brain RT (WBRT) in Patients With GBM"
"NCT01009957","PHASE2","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","OTHER",,"84","polycystic kidney diseases","After primary completition date, experimental drug was no longer available","Reduction of GFR (according to MDRD formula) during a two-year follow up"
"NCT03729401","PHASE4","TERMINATED","EXTERNAL","0.6","DRUG","OTHER","False","OTHER",,"78.2","coronary artery disease","Testing supplies unavailable.","Bleeding Academic Research Consortium (BARC) Bleeding"
"NCT05692401","NA","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","OTHER",,"25.1","ankle injuries","Study recruitment stopped due to recruitment problems","Weight change"
"NCT00297193","PHASE3","TERMINATED","ENROLLMENT","0.6","PROCEDURE","RESPONSE_RATE","False","ACADEMIC",,"129","crohn disease","For safety reasons the recruitment was halted prematurely. Patients on the trial continute to receive treatment and are being followed up as part the protocol.","Proportion patients in sustained disease remission"
"NCT04954014","PHASE2","TERMINATED","EXTERNAL","0.6","DRUG","OTHER","False","OTHER",,"12","ards, human","Lack of financing, lack of COVID19 patients in the ICU.","Mortality"
"NCT02032784","PHASE4","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","OTHER",,"76.2","adenoma","Difficult to enroll subjects","Post endoscopic mucosal resection bleeding"
"NCT01291784","PHASE1","TERMINATED","EXTERNAL","0.6","BIOLOGICAL","SAFETY","False","OTHER",,"23","myelofibrosis","Early termination when the drug was no longer made available by the pharmaceutical company due to unanticipated management and administrative decisions.","Safety and Tolerability"
"NCT01751633","NA","TERMINATED","BUSINESS","0.8","PROCEDURE","OTHER","False","OTHER",,"35","single level stable thoracolumbar fracture type ao a3","Administrative reason. Lack of funding.","Roland-Morris Disability Questionnaire (RMDQ)"
"NCT02470052","NA","TERMINATED","UNKNOWN","0","DEVICE","OTHER","False","INDUSTRY",,"36","emphysema",,"responder rate after deployment of valves"
"NCT00908947","NA","TERMINATED","ENROLLMENT","0.6","DEVICE","SAFETY","False","INDUSTRY",,"91.6","superficial femoral artery stenosis","Unable to enroll the required number of subjects","Primary Safety Endpoint: Freedom From Death at 30-days and 12-months Post-Index Procedure."
"NCT04565249","PHASE2","TERMINATED","UNKNOWN","0","DRUG","SAFETY","False","INDUSTRY",,"9.3","acute respiratory distress syndrome","Study halted and will not resume; participants are no longer being examined or receiving intervention","Number of Participants With Treatment-related Adverse Events and Laboratory Abnormalities, Assessed by CTCAE V5.0"
"NCT02937038","NA","TERMINATED","EXTERNAL","0.6","OTHER","BIOMARKER","False","OTHER",,"60.8","dehydration","COVID-19 difficulties recruiting","Urine Hydration Biomarkers"
"NCT04497038","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","OTHER",,"20.8","advanced adult hepatocellular carcinoma","loss of funding","Number of DLT Events to Occur"
"NCT03389048","NA","TERMINATED","REGULATORY","0.8","DEVICE","OTHER","False","OTHER",,"20.8","degenerative diseases, nervous system","Protocol compliance and inability to support proper performance","discrimination between nonpainful period to painful period"
"NCT04865848","NA","TERMINATED","UNKNOWN","0","PROCEDURE","OTHER","False","OTHER",,"35","anesthesia","research operation issues","Effectiveness of articaine local infiltration to lidocaine inferior alveolar nerve block (IANB) for restorative treatment of primary mandibular molars (PMM)."
"NCT01101126","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER_GOV",,"37","chronic obstructive pulmonary disease (copd)","An excess of all-cause acute health services utilization in the intervention arm","Healthcare services utilization for acute exacerbations of pulmonary disease"
"NCT05820685","PHASE4","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","OTHER",,"9.1","trauma injury","Study concluded because of drug shortage","Total Morphine Milligram Equivalents (MME) Per Day"
"NCT00176735","NA","TERMINATED","UNKNOWN","0","DRUG","OTHER","True","OTHER",,"44","pancreatic cancer",,
"NCT05083208","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","SAFETY","False","OTHER_GOV",,"41.3","peripheral t-cell lymphoma","The clinical development of parsaclisib was stopped by it's manufacturer.","Safety and Tolerability of Parsaclisib in Combination with Chidamide"
