"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT02549924","PHASE2","TERMINATED","BUSINESS","0.6","DRUG","OTHER","False","OTHER",,"17","type 2 diabetes mellitus","no financial support","Area under the curve"
"NCT00366080","PHASE2","TERMINATED","EFFICACY","0.6","DRUG","OTHER","False","INDUSTRY",,"14","narcolepsy","Study was terminated based on the interim results of a futility test.","Sleep latency (in minutes), as measured by the Maintenance of Wakefulness Test (MWT), at the end of the DBP"
"NCT01471379","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","OTHER",,"10.1","irritable bowel syndrome","Due to recruitment difficulties the study is terminated.","Number of Participants With Pain Response"
"NCT01392196","NA","TERMINATED","SAFETY","0.6","PROCEDURE","SAFETY","False","INDUSTRY",,"56","heart failure","No evidence of a physiological response; no significant safety concerns; post 24-month follow-up; Data Monitoring Committee agreed","Safety of Renal Denervation in Heart Failure patients as measured by Adverse Events"
"NCT01283178","PHASE1","TERMINATED","REGULATORY","0.8","OTHER","OTHER","False","OTHER",,"62.1","salivary gland squamous cell carcinoma","The study was terminated. The data analysis was futile with only 3 accruals. PI opted to terminate with IRB and withdraw FDA IND.","Feasibility of integrating molecular imaging (PET with FLT tracer) into current state-of-the-art image-guided adaptive radiation therapy (IGART) of head and neck cancer"
"NCT04812743","NA","TERMINATED","BUSINESS","0.6","OTHER","OTHER","False","OTHER",,"40.1","cancer of colon","End of grant funding","Increase in participants knowledge and intentions related to colorectal cancer screening."
"NCT02562443","PHASE3","TERMINATED","REGULATORY","0.6","DRUG","SURVIVAL","False","INDUSTRY",,"67.8","myelodysplastic syndrome","Top line analysis indicated that the study had failed to achieve its primary endpoint.","Overall survival of all randomized patients and overall survival of patients scored as IPSS-R very high risk."
"NCT01233635","PHASE4","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","OTHER",,"24","atrial fibrillation","inadequate enrollment rate","AF burden"
"NCT03272815","NA","TERMINATED","UNKNOWN","0","DEVICE","OTHER","False","OTHER",,"17.7","pneumothorax","Device requires further modification","Performance metrics"
"NCT03950635","PHASE1","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"67.4","melanoma","Administratively Complete","Feasibility of conducting a controlled feeding study in melanoma patients"
"NCT04122950","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"25.1","obesity","Few interested participants","Daily time physical activity (moderate, vigorous and very vigorous)"
