"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT02046187","PHASE1","TERMINATED","SAFETY","0.6","OTHER","SAFETY","False","OTHER",,"40","glioblastoma (gbm)","excessive protocol deviations due to strict nature of diet requirements","Number of participants with adverse events"
"NCT00453193","PHASE2","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","OTHER",,"65.9","lymphoma","Slow accrual.","Number of Participants With Objective Response"
"NCT04203901","PHASE2","TERMINATED","BUSINESS","0.6","BIOLOGICAL","SURVIVAL","False","INDUSTRY",,"38.2","advanced renal cell carcinoma","Strategic corporate decision","Overall Survival"
"NCT05514119","PHASE2","TERMINATED","ENROLLMENT","0.8","DRUG","SAFETY","False","OTHER",,"27.5","liver transplant","Low Enrollment","Tolerability of Fenofibrate"
"NCT01651767","PHASE1","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"10","chronic hepatitis c infection","Because of many competing trials using the same mechanism of action, but being further advanced in development","Determination of pharmacokinetics of JNJ-47910382"
"NCT01543607","NA","TERMINATED","ENROLLMENT","0.6","DEVICE","SAFETY","False","OTHER",,"24","obstruction of biliary tree","Lack of enrollment","Safety: Number of Bile Leak After RFA Procedure"
"NCT01034592","PHASE1","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","OTHER",,"37","anemia","Poor accrual related to rarity of Diamond-Blackfan anemia (DBA)","Red Blood Cell (RBC) Transfusion Independence"
"NCT04738292","PHASE2","TERMINATED","BUSINESS","0.6","DRUG","RESPONSE_RATE","False","OTHER",,"19.3","er-positive breast cancer","funding","Number of Participants With Objective Response (ORR)"
"NCT02253992","PHASE1","TERMINATED","UNKNOWN","0","BIOLOGICAL","SAFETY","False","INDUSTRY",,"55.8","advanced solid tumors",,"The Incidence of Adverse Events."
"NCT04922632","NA","TERMINATED","BUSINESS","0.6","OTHER","OTHER","False","OTHER",,"12.6","burnout, professional","Funding was exhausted","Change in resilience as measured by the Connor-Davidson Resilience Scale-25"
"NCT02090998","PHASE4","TERMINATED","EXTERNAL","0.8","PROCEDURE","OTHER","False","OTHER",,"70.5","transformed migraine","no patients during covid pandemic","Number of Daily Headaches"
