"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT00511134","PHASE4","TERMINATED","ENROLLMENT","0.8","DRUG","BIOMARKER","False","OTHER",,"20","insomnia","Study has been terminated due low recruitment of participant population.","Level of Insomnia as Measured by the Insomnia Severity Index"
"NCT03727009","NA","TERMINATED","EXTERNAL","0.6","OTHER","BIOMARKER","False","INDUSTRY",,"15.5","hematologic malignancy","COVID-19","Blood-based biomarkers associated with genetic and epigenetic alterations."
"NCT00469599","NA","TERMINATED","ENROLLMENT","0.6","DRUG","BIOMARKER","False","OTHER",,"39","secondary hyperparathyroidism","Terminated after 86 pt included, because of recruitment problems","The effect of alfacalcidol and paricalcitol on intact parathyroid hormone level and the tendency towards hyperphosphatemia and hypercalcemia"
"NCT03121599","NA","TERMINATED","ENROLLMENT","0.6","DEVICE","OTHER","False","INDUSTRY",,"16.2","essential thrombocythemia","Delayed study materials, poor recruitment","Evaluate the uptake of 3'-deoxy-3'-[18F] fluorothymidine (FLT) positron emission tomography/computed tomography (PET) in children with MPNs"
"NCT02396732","PHASE4","TERMINATED","EFFICACY","0.6","DRUG","OTHER","False","OTHER",,"27.4","venous thromboembolism","Terminated due to futility and less subjects meeting entry criteria","Incidence of Venous Thromboembolism"
"NCT00758732","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","RESPONSE_RATE","False","OTHER",,"64.9","ovarian cancer","Poor accrual","Overall Response Rate"
"NCT00341887","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","True","NIH",,"105.8","hiv",,
"NCT00681811","PHASE2","TERMINATED","EFFICACY","0.8","DRUG","OTHER","False","INDUSTRY",,"32","late infantile metachromatic leukodystrophy","Terminated prior to planned completion date due to lack of efficacy.","Days of Exposure to HGT-1111"
"NCT00125411","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","SAFETY","False","INDUSTRY",,"23.1","tumors","Sponsor decided to discontinue study drug development.","Maximum Tolerated Dose and Safety"
"NCT02528071","NA","TERMINATED","ENROLLMENT","0.6","OTHER","OTHER","False","OTHER",,"73","als (amyotrophic lateral sclerosis)","lack of inclusion","Endurance time"
"NCT02369744","PHASE4","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"7","ureteral calculus","due to lack of suitable patient population","Time to Stone Passage"
"NCT00445471","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"68","child development disorders, pervasive","Mifne began treating younger patients who could not be diagnosed with the ADOS used in the study","ADOS scores at 3 and 6 months after commencement of treatment"
"NCT02882334","NA","TERMINATED","UNKNOWN","0","DEVICE","OTHER","False","ACADEMIC",,"48.8","dystonic disorders","Difficult̩s d'inclure, les patients sont rares","change in writing speed after rehabilitation"
"NCT03195764","PHASE1","TERMINATED","EFFICACY","0.8","DRUG","SAFETY","False","INDUSTRY",,"25.3","advanced refractory solid tumors","The study was terminated before the primary endpoint (determination of MTD) was reached because the OPC form is to be replaced with the newly developed capsule form in all subsequent clinical trials.","Maximum Tolerated Dose (MTD) of T-1101 (Tosylate) in Participants with Advanced Cancers Refractory to Standard Therapy"
"NCT02213432","NA","TERMINATED","ENROLLMENT","0.8","BIOLOGICAL","OTHER","False","OTHER",,"11","cancer","Insufficient enrollment","Seroprotection rate"
"NCT01685632","NA","TERMINATED","UNKNOWN","0","PROCEDURE","BIOMARKER","False","OTHER",,"21.9","peritoneal carcinomatosis from colorectal or ovarian origin",,"heat shock protein expression (blood/cell ratio)compared to baseline values"
"NCT00360087","PHASE3","TERMINATED","ENROLLMENT","0.8","DRUG","OTHER","False","INDUSTRY",,"21","pulmonary hypertension","Slow enrollment","Change from baseline to all assessed time points in 6MWT, in Borg dyspnea index, and in modified NYHA functional class."
