ID,SMILES,STATUS,REASONS,RotBonds_raw,ArRings,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
gen11__ref_gen8_Nmethyl,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1,PASS,—,3,0,279.42,2.429,32.7,1,3,0.861,3,0
gen11__ref_gen10_morpholine,OC12CC3CC(C1)CC(OCC1CCOCC1)(C3)C2,PASS,—,3,0,266.38,2.513,38.69,1,3,0.853,3,0
gen11__direct_O_morpholine,OC12CC3CC(C1)CC(OC1CCOCC1)(C3)C2,PASS,—,2,0,252.35,2.266,38.69,1,3,0.819,2,0
gen11__direct_O_Nmethylpip,CN1CCC(OC23CC4CC(CC(O)(C4)C2)C3)CC1,PASS,—,2,0,265.4,2.181,32.7,1,3,0.83,2,0
gen11__direct_O_pyrrolidine,CN1CCCC1OC12CC3CC(CC(O)(C3)C1)C2,PASS,—,2,0,251.37,2.138,32.7,1,3,0.816,2,0
gen11__direct_N_morpholine,OC12CC3CC(C1)CC(N1CCOCC1)(C3)C2,FAIL,LogP=1.4<1.5 ; QED=0.75<0.75,1,0,237.34,1.402,32.7,1,3,0.748,1,0
gen11__direct_N_Nmethylpip,CN1CCN(C23CC4CC(CC(O)(C4)C2)C3)CC1,FAIL,LogP=1.32<1.5,1,0,250.39,1.317,26.71,1,3,0.76,1,0
gen11__direct_N_pyrrolidine,OC12CC3CC(C1)CC(N1CCCC1)(C3)C2,FAIL,QED=0.73<0.75,1,0,221.34,2.166,23.47,1,2,0.733,1,0
