ID,SMILES,STATUS,REASONS,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
gen9__ref_Nmethyl_pip,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1,PASS,—,279.42,2.429,32.7,1,3,0.861,3,0
gen9__pip_4c_4cn2f,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1Cc1ccc(C#N)cc1F,PASS,—,412.55,4.051,56.49,1,4,0.793,5,0
gen9__pip_4c_dimethoxy_F,COc1cc(CC2CC(COC34CC5CC(CC(O)(C5)C3)C4)CCN2C)cc(F)c1OC,FAIL,QED=0.68<0.78,447.59,4.196,51.16,1,5,0.679,7,0
gen9__pip_4c_methoxy,COc1ccc(CC2CC(COC34CC5CC(CC(O)(C5)C3)C4)CCN2C)cc1,PASS,—,399.58,4.048,41.93,1,4,0.784,6,0
gen9__pip_4c_cn,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1c1ccc(C#N)cc1,PASS,—,380.53,4.041,56.49,1,4,0.856,4,0
gen9__pip_N_cyanophenyl,N#Cc1ccc(N2CCC(COC34CC5CC(CC(O)(C5)C3)C4)CC2)cc1,PASS,—,366.51,3.875,56.49,1,4,0.879,4,0
gen9__difluoro_pip_core,CN1CC(COC23CC4CC(CC(O)(C4)C2)C3)CC(F)(F)C1,PASS,—,315.4,2.674,32.7,1,3,0.869,3,0
gen9__pip_core_only,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1,PASS,—,279.42,2.429,32.7,1,3,0.861,3,0
