ID,SMILES,QED,LogP,SA_Score,SA_Grade,hERG,BBB,DILI,Bioavail,AMES,Tox_Status,SA_Status,Tox_Reasons,FINAL
gen11__ref_gen8_Nmethyl,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1,0.861,2.429,4.72,🟡 보통,0.294,0.909,0.015,0.811,0.019,PASS,PASS,—,✅ PASS
gen11__ref_gen10_morpholine,OC12CC3CC(C1)CC(OCC1CCOCC1)(C3)C2,0.853,2.513,4.79,🟡 보통,0.112,0.957,0.097,0.89,0.025,PASS,PASS,—,✅ PASS
gen11__direct_O_morpholine,OC12CC3CC(C1)CC(OC1CCOCC1)(C3)C2,0.819,2.266,4.89,🟡 보통,0.084,0.959,0.137,0.913,0.035,PASS,PASS,—,✅ PASS
gen11__direct_O_Nmethylpip,CN1CCC(OC23CC4CC(CC(O)(C4)C2)C3)CC1,0.83,2.181,4.81,🟡 보통,0.239,0.899,0.023,0.846,0.029,PASS,PASS,—,✅ PASS
gen11__direct_O_pyrrolidine,CN1CCCC1OC12CC3CC(CC(O)(C3)C1)C2,0.816,2.138,5.26,🟠 어려움,0.14,0.898,0.025,0.859,0.027,PASS,PASS,—,✅ PASS
