ID,SMILES,STATUS,REASONS,RotBonds_raw,ArRings,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
gen10__ref_gen8_Nmethyl,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1,PASS,—,3,0,279.42,2.429,32.7,1,3,0.861,3,0
gen10__tetrahydroisoquinoline,OC12CC3CC(C1)CC(OCC1CNc4ccccc41)(C3)C2,PASS,—,3,1,299.41,3.296,41.49,2,3,0.9,3,0
gen10__Nmethyl_THIQ,CN1CC(COC23CC4CC(CC(O)(C4)C2)C3)c2ccccc21,PASS,—,3,1,313.44,3.32,32.7,1,3,0.929,3,0
gen10__pyrrolidine,CN1CCCC1COC12CC3CC(CC(O)(C3)C1)C2,PASS,—,3,0,265.4,2.181,32.7,1,3,0.849,3,0
gen10__morpholine,OC12CC3CC(C1)CC(OCC1CCOCC1)(C3)C2,PASS,—,3,0,266.38,2.513,38.69,1,3,0.853,3,0
gen10__Nmethyl_morpholine,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CO1,PASS,—,3,0,281.4,1.97,41.93,1,4,0.859,3,0
gen10__isoquinoline,OC12CC3CC(C1)CC(OCc1nccc4ccccc14)(C3)C2,PASS,—,3,2,309.41,3.835,42.35,1,3,0.937,3,0
gen10__Nmethyl_pip_4phenyl,CN1CCC(COC23CC4CC(CC(O)(C4)C2)C3)CC1c1ccccc1,PASS,—,4,1,355.52,4.17,32.7,1,3,0.88,4,0
